Area Code,Area Name,Year,Series,System of trade,System of trade footnote,Value,Footnotes,Source
18,Southern Africa,2018,Imports CIF (millions of US dollars),,,"110,384",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2019,Imports CIF (millions of US dollars),,,"106,084",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2020,Imports CIF (millions of US dollars),,,"85,846",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,1995,Exports FOB (millions of US dollars),,,"28,214",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2005,Exports FOB (millions of US dollars),,,"56,076",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2010,Exports FOB (millions of US dollars),,,"95,232",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2015,Exports FOB (millions of US dollars),,,"93,647",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2018,Exports FOB (millions of US dollars),,,"110,290",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2019,Exports FOB (millions of US dollars),,,"104,469",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2020,Exports FOB (millions of US dollars),,,"99,581",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,1995,Balance imports/exports (millions of US dollars),,,"1,470",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2005,Balance imports/exports (millions of US dollars),,,"-7,711",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2010,Balance imports/exports (millions of US dollars),,,"-2,491",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2015,Balance imports/exports (millions of US dollars),,,"-10,527",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2018,Balance imports/exports (millions of US dollars),,,-94,,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2019,Balance imports/exports (millions of US dollars),,,"-1,615",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
18,Southern Africa,2020,Balance imports/exports (millions of US dollars),,,"13,735",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
11,Western Africa,1995,Imports CIF (millions of US dollars),,,"19,153",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
11,Western Africa,2005,Imports CIF (millions of US dollars),,,"44,948",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
11,Western Africa,2010,Imports CIF (millions of US dollars),,,"83,254",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
11,Western Africa,2015,Imports CIF (millions of US dollars),,,"87,237",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
11,Western Africa,2018,Imports CIF (millions of US dollars),,,"101,351",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
11,Western Africa,2019,Imports CIF (millions of US dollars),,,"106,142",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
11,Western Africa,2020,Imports CIF (millions of US dollars),,,"166,451",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
11,Western Africa,1995,Exports FOB (millions of US dollars),,,"21,750",,"United Nations Statistics Division, New York, Commodity Trade Statistics Database (UN COMTRADE), last accessed June 2021."
